PSNR,SSIM
32.039112865237605,0.9275665
34.371490013730394,0.91327935
35.09133697080484,0.94053096
31.288452518028457,0.84147006
33.5399525816942,0.9206343
38.26868533872689,0.9458995
34.872542388530746,0.93692344
33.02325032616485,0.9082319
34.87995942089051,0.93262625
34.78274606890518,0.90684867
32.790641535475615,0.9294675
33.45574311097328,0.9057563
34.456067042830625,0.91133046
35.316415261065735,0.92510366
33.37673061056917,0.88945204
33.47471973101913,0.92879367
32.00161976231965,0.9144643
36.39797261907886,0.95049447
35.41302245229688,0.92869276
32.78345459315199,0.9115491
34.036227034408086,0.9064827
29.244997554069943,0.8548991
33.98210315322844,0.93274134
33.73146552649991,0.9380581
32.99252560517107,0.9036791
33.27567800875764,0.90863997
32.583199363859215,0.9135855
35.35593387365622,0.9177781
32.31444222749089,0.88855046
33.18004191348624,0.900076
38.18199649201945,0.9539893
34.8201170596225,0.9300232
36.679935067157636,0.9389103
31.764964322939342,0.91367203
33.7215181945276,0.8953317
33.74107660235198,0.922771
35.346765043643174,0.91689926
31.11949857363198,0.8312294
36.376776157429354,0.94120646
36.58799379383221,0.9424474
34.08356841249271,0.9170348
36.2788643934415,0.93715906
31.27242420107658,0.87399024
35.45939140225654,0.919615
34.48949667322681,0.9190622
35.73131025150365,0.92438054
33.891681598199156,0.91015464
32.67158216021745,0.90369844
38.012270017278766,0.9552467
36.78764466339976,0.94316393
33.637415906431784,0.8407626
29.83862458930169,0.8096854
33.52460448968713,0.89532375
32.554250831249696,0.8991168
35.455724345707445,0.9402062
35.25641621314435,0.9255803
36.5280574556574,0.9144988
34.335056874051546,0.9273737
35.67601320584144,0.92684287
34.60301320906528,0.9191087
30.310703389231858,0.9209134
31.769144835751177,0.917094
37.20683708628011,0.9465839
36.009845550109155,0.94580084
33.43766557231734,0.9069423
34.54888856159366,0.93774086
32.12791051989623,0.89826506
34.186491548220786,0.911865
36.6858113638692,0.9252407
34.75458600129665,0.92492586
34.680565001515475,0.8971942
34.95946423527685,0.9158588
35.52460761150141,0.95046306
32.002723420075085,0.8586133
34.15326952285269,0.90352887
30.706380184275677,0.88039017
32.34563481806146,0.91100025
32.66868684625377,0.91379637
33.70286285887517,0.91255784
